nombre,capital,region,poblacion
South Sudan,Juba,Africa,11193729
Malawi,Lilongwe,Africa,19129955
Equatorial Guinea,Malabo,Africa,1402985
Mozambique,Maputo,Africa,31255435
Kosovo,Pristina,Europe,1775378
Cape Verde,Praia,Africa,555988
Bouvet Island,Sin capital,Antarctic,0
Central African Republic,Bangui,Africa,4829764
Macau,Sin capital,Asia,649342
Saint Pierre and Miquelon,Saint-Pierre,Americas,6069
Zimbabwe,Harare,Africa,14862927
Wallis and Futuna,Mata-Utu,Oceania,11750
Mongolia,Ulan Bator,Asia,3278292
Japan,Tokyo,Asia,125836021
Djibouti,Djibouti,Africa,988002
Luxembourg,Luxembourg,Europe,632275
China,Beijing,Asia,1402112000
South Georgia,King Edward Point,Antarctic,30
Tanzania,Dodoma,Africa,59734213
Fiji,Suva,Oceania,896444
Montenegro,Podgorica,Europe,621718
Curaçao,Willemstad,Americas,155014
Bhutan,Thimphu,Asia,771612
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,Africa,53192
Albania,Tirana,Europe,2837743
Austria,Vienna,Europe,8917205
South Korea,Seoul,Asia,51780579
Suriname,Paramaribo,Americas,586634
Slovenia,Ljubljana,Europe,2100126
Denmark,Copenhagen,Europe,5831404
Lesotho,Maseru,Africa,2142252
Kiribati,South Tarawa,Oceania,119446
Serbia,Belgrade,Europe,6908224
British Virgin Islands,Road Town,Americas,30237
Guatemala,Guatemala City,Americas,16858333
DR Congo,Kinshasa,Africa,108407721
Puerto Rico,San Juan,Americas,3194034
Palestine,Ramallah,Asia,4803269
Andorra,Andorra la Vella,Europe,77265
Antarctica,Sin capital,Antarctic,1000
Ivory Coast,Yamoussoukro,Africa,26378275
